id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
8,43,350,170,451,190,471,180,460,23.060772971626808,19.919029537258805,34864.0,34432.28,33813.0
9,43,314,128,461,144,485,135,472,25.12914644364044,16.249461710171662,34566.0,34297.328025477706,33647.0
14,43,184,35,198,49,215,42,207,18.606541717408266,13.00357332112861,33747.0,33523.15217391304,33218.0
15,43,171,25,169,41,181,32,175,17.30520071795377,12.651617406563787,33642.0,33510.09356725146,33302.0
18,43,259,62,253,83,269,72,260,23.82418177766733,14.067900903429083,33439.0,33339.4555984556,33217.0
19,43,195,60,196,75,215,66,206,21.794003295371432,11.904325491076749,33365.0,33307.84102564103,33135.0
20,43,145,16,231,29,244,22,237,13.57482456862576,13.57482456862576,33501.0,33327.11724137931,33123.0
28,43,413,139,348,161,374,149,360,30.516218381575065,17.958234858256578,33505.0,33411.5205811138,33261.0
29,43,361,99,344,121,363,110,353,23.49687981762235,19.6848509699034,33404.0,33304.09418282549,33218.0
33,43,202,166,379,179,397,172,388,19.759981370540196,13.23346325883015,35547.0,34438.792079207924,33163.0
36,43,145,95,406,108,419,101,412,13.57482456862576,13.57482456862576,33729.0,33632.84137931035,33531.0
37,43,208,147,419,167,430,156,424,22.020969027794326,12.20340431695504,33712.0,33590.706730769234,33418.0
43,43,229,162,503,181,517,171,510,20.170410408187614,14.49531824640921,35220.0,34822.17030567685,34205.0
44,43,193,135,499,150,514,142,506,15.675465136763439,15.675465136763439,35126.0,34797.30569948186,34268.0
50,43,420,377,235,403,254,390,244,27.667406374869508,19.38188539927649,34054.0,33752.921428571426,33477.0
53,43,295,324,226,340,248,331,237,24.077401786519626,15.977897649551906,33810.0,33619.186440677964,33383.0
54,43,253,312,284,331,301,321,292,21.130735592117702,15.334361943503067,33779.0,33598.007905138336,33453.0
58,43,314,264,273,286,289,275,280,23.82191463742116,17.01461228795949,33239.0,33180.490445859876,33131.0
59,43,298,259,220,274,245,266,232,27.26124718710244,14.19724148878586,33236.0,33179.48322147651,33093.0
65,43,249,257,338,274,355,265,346,17.809342794248536,17.809342794248536,33166.0,33129.843373493975,33097.0
66,43,306,314,342,328,369,321,355,30.22979728974729,13.204588541345576,33197.0,33158.271241830065,33109.0
